,time,condition,epoch,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,F5,F7,F3,F1,F2,F4,F6,F8
0,0.0,1,0,19.391490515758626,49.46984982289341,61.009409665111846,38.406906501553664,-7.483888455609829,-41.458811365240194,12.27036581631215,93.8389098865476,212.82818864478534,272.89515973646496,240.94962875966468,100.37705835557728,-64.5254219209994,17.883494882638445,137.39407661820908,421.10203485638334
1,0.004,1,0,20.637615113940026,48.46217038079878,45.713339328844654,16.42885409165146,-15.95715780629115,10.184568327175853,181.33117069191843,357.06730679045734,424.20098654483485,278.6289497486381,-23.230941365639893,-7.787848082020985,26.743457736446487,379.6330047540354,893.3179138255607,732.9823282676218
2,0.008,1,0,22.38600804678348,46.798258760371766,31.067732754587663,-15.23826024399201,-15.20837402650318,59.874632513629386,310.47690321409266,387.6193571123995,176.65426912660962,-90.19543229342656,-19.128217807166692,241.86016306919308,641.1098059303656,703.9422194844374,269.01591717454403,-174.13207193246132
3,0.012,1,0,23.09706714091431,39.71301916134534,17.14998182984423,-6.655177685538071,27.088061943778975,131.31243015104275,130.991871860785,83.87455112301966,0.7415784221066417,-45.897411077576635,177.67793796056588,352.3789665761366,222.1599799116063,46.49539559639152,36.66385388577244,159.28526637669273
4,0.016,1,0,23.30201143629798,35.215299347926845,4.401536223692936,-13.44368481214697,64.77619890023307,157.37862686809896,108.95664207991348,-39.35642097591686,-39.1134351205873,184.91943165004622,333.7923828391272,125.60562420982946,39.8307113410617,47.79099411029384,317.06176976275117,344.5533180595211
5,0.02,1,0,23.518085601670002,28.722338130879535,-12.926485743851416,6.226286702469828,105.63431310619175,129.82308062800792,5.832715524464547,9.68249587249393,124.08495300643844,238.864128735714,110.23295173536404,-54.74690088116907,97.902597668277,383.4340992363158,289.20171495916054,-67.30250850055558
6,0.024,1,0,23.53135184676558,21.983248633054256,-5.961548891713136,34.66479011497972,106.26212809714443,72.85845862155892,-19.934934365187928,58.73455589145222,230.19947508140854,128.4364266788277,4.432512157521231,101.77989343265321,255.5019428254412,209.02431282290587,93.2575829730066,140.0694306655563
7,0.028,1,0,24.284803390353183,15.475522977605916,-12.746721802726547,62.99914181721426,103.82717177498048,5.959661231727125,1.2903227228277387,153.22580108784666,134.06752781538236,-15.637379749938418,22.306768016190773,209.8385134924541,146.4397056032456,17.173895726939122,168.15185623339417,209.26847487910965
8,0.032,1,0,23.41800744661902,7.7367417465664055,-3.3086482798691605,89.4845985228973,72.84155115117338,-18.65853138480786,73.14706226518017,202.54942400155937,13.521872486377433,-0.34735697099483787,187.35723045322135,164.366208753387,-25.075048641037057,183.87317460795268,355.2494585677106,35.20897031957398
9,0.036,1,0,23.094645783819843,2.220887606265155,11.46031884040465,103.77509801431134,37.90777677470582,-22.175002834858617,156.03668266065944,121.98627108531292,-20.12854746530212,166.8475870978029,208.313995270779,2.1632904880827226,126.95133775165677,210.58064323386873,2.204334623500756,13.463888580241075
10,0.04,1,0,23.12058178388628,-1.5880880761999983,23.026110841227734,101.31338382851423,-10.439751227714517,39.51758101798761,156.30184501226017,-0.8227107720568654,27.330532450124842,260.22450907832655,46.082589687259954,57.433055622211164,259.88194560810064,39.8983317617827,15.467294481441767,473.78949878397896
11,0.044,1,0,21.819119326253563,-5.074844230350887,39.91926740812116,84.05376766227715,-31.014105810491674,99.9280155548845,117.15843904894078,-47.583556299960435,211.44982875309933,133.9667573691548,-24.24530548509901,194.158806568349,117.56206268849685,27.853351950287177,293.9693586179916,136.58892520873474
12,0.048,1,0,21.23708769694614,-6.637681330908446,56.49920832582784,54.54391996176645,-1.6394980132149755,149.570654909079,17.642410406101938,51.65707047075233,218.4940702613468,-36.568036403001514,135.22401467419735,220.54625109180648,-108.68322523199345,324.67240526002195,137.00172175379726,-22.958098997114604
13,0.052,1,0,19.433696672626716,-5.635360285794093,67.9419044606162,24.626475765936725,17.814281983189908,126.30618308144085,6.1524755523977035,123.4836233745925,107.77320599877116,-6.996763843027239,281.9204450052698,-27.520497588990395,149.90091124459326,172.6770000324814,24.61469350566611,507.53519780729056
14,0.056,1,0,18.33090593557022,-5.679926877547391,65.75526811117629,5.737623001061422,63.561860726425024,95.31752521402255,2.825018525577363,153.7052655778382,-41.19008821102861,176.66278735256088,125.20765929126338,-25.045207768445664,224.2440640138898,19.811737404165854,251.52356591759352,123.01222153939575
15,0.06,1,0,16.900078910095758,-2.8260226786017775,69.03011732848177,-4.393743444779965,91.07648874037199,32.806909313751135,60.63417055135711,149.59417058089895,4.57950121101608,278.3537068648794,-104.06706461275235,312.54899350925643,57.17220106557592,114.3029483671993,290.9137277157394,-35.167638875206194
16,0.064,1,0,15.36003328470084,-0.09153510991516,69.42255527932184,-8.214712929244108,117.55840440635154,-31.91894742571564,150.09227171306253,32.133960851262245,112.09420439277886,130.1019828738659,12.007295841930869,225.42000723502946,-65.2014594427018,206.21727835777835,-90.31179142231144,625.0979605938642
17,0.068,1,0,13.6060443648924,7.046812017174872,55.905356229551785,-10.318798834351611,126.73528867282172,-42.230644560356254,133.96149046724832,-71.34362227906018,212.1031971236722,-68.64171259805633,282.4614006306276,36.87930569815789,263.1619922478161,223.50867069215224,293.65121478245777,372.2863900271124
18,0.072,1,0,11.808631975533057,14.116134267383972,41.28313320116123,23.136927430878554,79.38416283241182,12.528892019220564,115.57453047274839,9.120482367606073,138.83228300302605,29.784317711272763,198.00390833844227,15.201285378300156,200.53822248548875,-195.81401906415323,745.606271753172,-46.84348157671616
19,0.076,1,0,9.999999999999599,21.482558550604743,26.37054040091492,49.09037134647194,32.497876553577626,78.679070750702,42.20605126036715,113.48329917390322,39.44647928864985,175.4376839829377,21.49035249516544,222.25081742956775,78.45201252808232,625.5491331518695,37.904098728447394,262.1793208068812
